No.	Quantity	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	9	C1,C2,C3,C4,C5,C6,C7,C8,C10	C0402_custom	u1	CL05B104KO5NNNC	SAMSUNG(三星)		LCSC
2	2	C9,C11	C0402_custom	4u7	CL05A475MP5NRNC	SAMSUNG(三星)		LCSC
3	2	C12,C13	C0402_wider	4u7	CL05A475MP5NRNC	SAMSUNG(三星)		LCSC
4	2	C14,C15	C0402_custom	15pF	0402CG150J500NT	FH(风华)	C1548	LCSC
5	2	C16,C17	C0402	1uF	CL05A105KA5NQNC	SAMSUNG(三星)	C52923	LCSC
6	1	L1	IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T		3u3	ABRACON	C42411119	LCSC
7	1	LED1	LED0402-RD_BLUE		Blue	MEIHUA(美华)	C401112	LCSC
8	1	R1	R0402	33Ω	0402WGF330JTCE	UNI-ROYAL(厚声)	C25105	LCSC
9	2	R2,R3	R0402	27Ω	WR04X270JTL	Walsin(华新科)	C384351	LCSC
10	2	R4,R5	R0402	1kΩ	0402WGF1001TCE	UNI-ROYAL(厚声)	C11702	LCSC
11	1	R6	R0402	220Ω	RC0402FR-07220RL	YAGEO(国巨)	C112291	LCSC
12	1	SW1	SW-SMD_L3.9-W3.0-P4.45		BOOT0	XUNPU(讯普)	C720477	LCSC
13	1	U1	QFN-60_L7.0-W7.0-P0.40-TL-EP3.4		RP2354A	Raspberry Pi(树莓派)	C41378174	LCSC
14	1	U3	CRYSTAL-SMD_4P-L3.2-W2.5-BL		ABM8-272-T3	ABRACON	C20625731	LCSC
15	1	U4	USB-A_PCB					
16	1	U5	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		ME6211A33M3G-N	MICRONE(南京微盟)	C168807	LCSC
